depressed,stress,anxiety,not_depressed,nostress
Sadness,Tension,Nervous,Happy,Calm
Gloom,Overwhelm,Panic,Joyful,Peaceful
Hopelessness,Pressure,Dread,Content,Relaxation
Melancholy,Exhaustion,Uneasy,Jubilant,Serenity
Despair,Burnout,Worry,Elated,Composure
Fatigue,Strain,Stressful,Thrilled,Comfort
Isolation,Frustration,Restless,Upbeat,Tranquility
Lethargy,Anxiety,Fearful,Excited,Easygoing
Tearful,Fatigue,Tense,Energetic,Harmony
Darkness,Overload,Apprehensive,Radiant,Ease
Emptiness,Panic,Jumpy,Optimistic,Balanced
Worthless,Irritability,Fretful,Confident,Cheerful
Misery,Nervousness,On-edge,Bright,Rest
Downcast,Cortisol,Alert,Proud,Relief
Loneliness,Restlessness,Hypervigilant,Cheerful,Bliss
Desolate,Sleeplessness,Paranoid,Lively,Flow
Numbness,Worry,Agitated,Hopeful,Lighthearted
Grief,Fear,Alarmed,Enthusiastic,Smooth
Sorrow,Distress,Overthinking,Vibrant,Carefree
Ache,Unease,Anticipating,Fulfilled,Equanimity
Weary,Agitation,Hesitant,Light,Pleasant
Lost,Frenzy,Avoidant,Buoyant,Stable
Overwhelmed,Jitters,Racing,Smiling,Gentle
Pessimism,Dread,Shaky,Laughing,Open
Crying,Turmoil,Disturbed,Alive,Mild
Hopeless,Hassle,Trembling,Blissful,Bright
Moodiness,Tense,Concerned,Perky,Positive
Pain,Chaos,Overloaded,Positive,Cheer
Dismal,Headache,Helpless,Zestful,Easeful
Low,Racing,Sweaty,Loving,Glad
Fragility,Rush,Nauseous,Playful,Soothing
Quiet,Pressure,Unsettled,Cheer,Repose
Shadows,Fatigue,Fast-paced,Appreciative,Chill
Hollow,Deadlines,Hyper,Fresh,Buoyant
Trapped,Hurry,Alertness,Glowing,Centered
Weak,Apprehension,Distress,Delight,Grounded
Broken,Imbalance,Racing-heart,Celebratory,Stillness
Distant,Demands,Light-headed,Amused,Free
Anguish,Load,Cluttered,Serene,Settled
Tears,Nervous,Suffocating,Connected,Joyful
Withdrawal,Struggles,Confused,Warm,Relaxed
Overcast,Tears,Rigid,Whole,Easy
Heartache,Exertion,Overwrought,Thriving,Grateful
Downhearted,Palpitations,Mindful,Motivated,Pleasantness
Heavy,Worry,Startled,Enriched,Orderly
Powerless,Struggle,Breathless,Exuberant,Stable
Empty,Overwrought,Vulnerable,Grateful,Invigorating
Worthlessness,Push,Wired,Excited,Satisfied
Worn,Overburdened,Stuck,Bubbly,Secure
Disinterest,Unrest,Spinning,Merry,Mellow
